epoch,epoch_loss,lmi_loss,eta_loss
165,23117.079632522305,"tensor(-71.2667300, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
166,23178.837888545248,"tensor(-71.2667008, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
167,23131.239257158002,"tensor(-71.2669130, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
168,23128.81361645218,"tensor(-71.2670850, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
169,23131.65428420178,"tensor(-71.2672379, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
170,23121.68159569049,"tensor(-71.2672385, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
171,23123.268192325646,"tensor(-71.2672996, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
172,23124.085672238984,"tensor(-71.2672876, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
173,23132.53953424251,"tensor(-71.2672800, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
174,23122.894147448398,"tensor(-71.2673614, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
175,23127.16129757156,"tensor(-71.2673949, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
176,23355.82335097257,"tensor(-71.2675492, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
177,23280.23559536634,"tensor(-71.2679436, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
178,23128.869688260278,"tensor(-71.2683062, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
179,23137.629642745946,"tensor(-71.2683884, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
180,23152.112546576,"tensor(-71.2685866, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
181,23472.951468049243,"tensor(-71.2689743, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
182,23118.126141098746,"tensor(-71.2691698, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
183,23116.90786842694,"tensor(-71.2691901, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
184,23117.07077434802,"tensor(-71.2691935, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
185,23119.343421178502,"tensor(-71.2692234, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
186,23119.504216116395,"tensor(-71.2692556, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
187,23154.993188643257,"tensor(-71.2692352, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
188,23138.38951757235,"tensor(-71.2693149, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
189,23119.173197187945,"tensor(-71.2694094, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
190,23117.12614101558,"tensor(-71.2694244, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
